対局日,期,棋戦,備考,ブロック,回戦,局,先手の勝敗,先手,後手,後手の勝敗,千日手,放送日
2024-10-10,33,銀河戦,本戦,E,1,,○,長谷部浩平,柵木幹太,●,,2025-01-16
2024-10-10,33,銀河戦,本戦,E,2,,○,牧野光則,長谷部浩平,●,,2025-02-13
2024-10-11,83,順位戦,A級,,4,,○,豊島将之,菅井竜也,●,,
2024-10-11,10,叡王戦,予選,,,,○,山本博志,杉本和陽,●,,
2024-10-11,,王位戦,予選,,,,○,佐藤康光,千田翔太,●,,
2024-10-11,,王座戦,一次予選,,,,○,長岡裕也,浦野真彦,●,,
2024-10-11,33,銀河戦,本戦,G,1,,●,相川浩治,阿部光瑠,○,,2025-01-23
2024-10-11,33,銀河戦,本戦,G,2,,●,阿部光瑠,横山友紀,○,,2025-02-20
2024-10-11,33,銀河戦,本戦,G,3,,●,横山友紀,佐々木大地,○,,2025-03-20
2024-10-12,,JT杯,,,5,,○,渡辺明,稲葉陽,●,,
2024-10-13,,青流戦,第1局,,5,,○,上野裕寿,岡部怜央,●,千日手,
2024-10-14,,青流戦,第2局,,5,,○,上野裕寿,岡部怜央,●,,
2024-10-14,,王座戦,一次予選,,5,,□,福崎文吾,中田功,■,,
2024-10-15,83,順位戦,A級,,4,,●,佐々木勇気,永瀬拓矢,○,,
2024-10-15,10,叡王戦,予選,,,,●,丸山忠久,森下卓,○,,
2024-10-15,,王座戦,一次予選,,5,,●,山川泰熙,大平武洋,○,,
2024-10-15,,王座戦,一次予選,,5,,●,高田明浩,畠山鎮,○,,
2024-10-15,,王座戦,一次予選,,5,,●,福崎文吾,阿部隆,○,,
2024-10-15,,棋王戦,挑決トーナメント,,5,,●,羽生善治,斎藤明日斗,○,,
2024-10-15,,棋聖戦,二次予選,,5,,●,中川大輔,及川拓馬,○,,
2024-10-16,37,竜王戦,6組 昇決,,5,,○,岡部怜央,徳田拳士,●,,
2024-10-16,,王位戦,予選,,5,,●,藤原直哉,藤本渚,○,,
2024-10-16,,王座戦,一次予選,,,,●,冨田誠也,増田裕司,○,,
2024-10-16,33,銀河戦,本戦,H,1,,●,遠山雄亮,村田智弘,○,,2025-01-28
2024-10-16,33,銀河戦,本戦,H,2,,●,村田智弘,井田明宏,○,,2025-02-25
2024-10-17,37,竜王戦,5組 昇決,,,,○,狩山幹生,出口若武,●,,
2024-10-17,83,順位戦,B級1組,,,,●,羽生善治,近藤誠也,○,,
2024-10-17,83,順位戦,B級1組,,,,○,広瀬章人,石井健太郎,●,,
2024-10-17,83,順位戦,B級1組,,,,●,大橋貴洸,高見泰地,○,,
2024-10-17,83,順位戦,B級1組,,,,○,佐藤康光,大石直嗣,●,,
2024-10-17,83,順位戦,B級1組,,,,○,糸谷哲郎,山崎隆之,●,,
2024-10-17,83,順位戦,B級1組,,,,○,澤田真吾,三浦弘行,●,,
2024-10-17,83,順位戦,C級2組,,5,,○,佐々木大地,高橋道雄,●,,
2024-10-17,83,順位戦,C級2組,,5,,○,石川優太,佐藤秀司,●,,
2024-10-17,83,順位戦,C級2組,,5,,○,村中秀史,小山直希,●,,
2024-10-17,83,順位戦,C級2組,,5,,○,高野秀行,山本博志,●,,
2024-10-17,83,順位戦,C級2組,,5,,○,井出隼平,長岡裕也,●,,
2024-10-17,83,順位戦,C級2組,,5,,○,長谷部浩平,星野良生,●,,
2024-10-17,83,順位戦,C級2組,,5,,●,八代弥,上野裕寿,○,,
2024-10-17,83,順位戦,C級2組,,5,,○,宮嶋健太,牧野光則,●,,
2024-10-17,83,順位戦,C級2組,,5,,○,阿部光瑠,横山友紀,●,,
2024-10-17,83,順位戦,C級2組,,5,,●,今泉健司,渡辺大夢,○,,
2024-10-17,83,順位戦,C級2組,,5,,○,日浦市郎,安用寺孝功,●,千日手,
2024-10-17,83,順位戦,C級2組,,5,,○,西川和宏,高橋佑二郎,●,,
2024-10-17,83,順位戦,C級2組,,5,,○,杉本和陽,齊藤裕也,●,,
2024-10-17,10,叡王戦,予選,,,,○,深浦康市,島朗,●,,
2024-10-17,,王位戦,予選,,,,○,渡辺和史,中村修,●,,
2024-10-17,,王座戦,一次予選,,,,○,脇謙二,阪口悟,●,,
2024-10-17,,棋聖戦,一次予選,,,,●,飯島栄治,谷合廣紀,○,,
2024-10-17,,棋聖戦,一次予選,,,,○,西山朋佳,小山怜央,●,,
2024-10-17,,棋聖戦,一次予選,,,,○,谷合廣紀,西山朋佳,●,,
2024-10-17,33,銀河戦,本戦,B,1,,○,渡辺誠,藤森哲也,●,,2025-01-07
2024-10-17,33,銀河戦,本戦,B,2,,○,渡辺誠,森本才跳,●,,2025-02-04
2024-10-17,33,銀河戦,本戦,B,3,,○,佐藤慎一,渡辺誠,●,,2025-03-04
2024-10-18,37,竜王戦,5組 昇決,,,,●,竹内雄悟,千葉幸生,○,,
2024-10-18,83,順位戦,A級,,4,,○,中村太地,千田翔太,●,,
2024-10-18,10,叡王戦,予選,,,,○,豊島将之,谷川浩司,●,,
2024-10-18,,王位戦,予選,,,,○,松尾歩,上村亘,●,,
2024-10-18,,王位戦,予選,,,,●,梶浦宏孝,阿部健治郎,○,,
2024-10-18,,王位戦,予選,,,,○,松本佳介,本田奎,●,,
2024-10-18,,王座戦,一次予選,,,,○,金井恒太,近藤正和,●,,
2024-10-18,,王座戦,一次予選,,,,○,船江恒平,山本真也,●,,
2024-10-18,,棋王戦,挑決トーナメント,,,,●,渡辺明,増田康宏,○,,
2024-10-18,74,王将戦,挑決リーグ,,,,●,菅井竜也,西田拓也,○,,
2024-10-18,,棋聖戦,二次予選,,,,●,戸辺誠,行方尚史,○,,
2024-10-19,37,竜王戦,七番勝負,,,2,○,佐々木勇気,藤井聡太,●,,
2024-10-21,,新人戦,三番勝負,,,2,●,高田明浩,服部慎一郎,○,,
2024-10-21,37,竜王戦,6組 昇決,,,,○,山本博志,瀬川晶司,●,,
2024-10-21,37,竜王戦,6組 昇決,,,,●,小山怜央,岡部怜央,○,,
2024-10-21,74,王将戦,挑決リーグ,,,,○,菅井竜也,羽生善治,●,,
2024-10-21,74,王将戦,挑決リーグ,,,,○,近藤誠也,西田拓也,●,,
2024-10-21,74,NHK杯,本戦,,2,16,○,横山泰明,永瀬拓矢,●,,2024-11-24
2024-10-21,74,NHK杯,本戦,,3,1,●,小山怜央,藤本渚,○,,2024-12-01
2024-10-22,37,竜王戦,4組 昇決,,,,●,村田顕弘,石井健太郎,○,,
2024-10-22,37,竜王戦,6組 昇決,,,,○,谷合廣紀,柵木幹太,●,,
2024-10-22,,王位戦,予選,,,,●,青嶋未来,広瀬章人,○,,
2024-10-22,,王位戦,予選,,,,○,高野秀行,千葉幸生,●,,
2024-10-22,,王座戦,一次予選,,,,○,先崎学,中村修,●,,
2024-10-22,,達人戦,予選,,,,●,南芳一,藤原直哉,○,,
2024-10-22,,達人戦,予選,,,,○,増田裕司,今泉健司,●,,
2024-10-22,,達人戦,予選,,,,○,増田裕司,藤原直哉,●,,
2024-10-23,37,竜王戦,6組 昇決,,,,●,勝又清和,安用寺孝功,○,,
2024-10-23,83,順位戦,A級,,4,,○,渡辺明,稲葉陽,●,,
2024-10-23,10,叡王戦,予選,,,,○,黒沢怜生,田中悠一,●,,
2024-10-23,10,叡王戦,予選,,,,●,神崎健二,畠山鎮,○,,
2024-10-23,10,叡王戦,予選,,,,○,斎藤慎太郎,畠山鎮,●,,
2024-10-23,,王位戦,予選,,,,○,石田直裕,阿部光瑠,●,,
2024-10-23,,王位戦,予選,,,,○,藤井猛,佐々木慎,●,,
2024-10-23,,王位戦,予選,,,,○,久保利明,上野裕寿,●,,
2024-10-23,,王位戦,予選,,,,○,谷川浩司,池永天志,●,,
2024-10-23,,王位戦,予選,,,,●,黒田尭之,石川優太,○,,
2024-10-23,,王座戦,一次予選,,,,○,森本才跳,折田翔吾,●,,
2024-10-23,,棋聖戦,一次予選,,,,○,岡部怜央,片上大輔,●,,
2024-10-23,,達人戦,予選,,,,○,屋敷伸之,島朗,●,,
2024-10-23,,達人戦,予選,,,,○,木村一基,有森浩三,●,,
2024-10-23,,達人戦,予選,,,,●,屋敷伸之,木村一基,○,,
2024-10-24,10,叡王戦,予選,,,,●,山本真也,西川和宏,○,,
2024-10-24,,王位戦,予選,,,,○,高見泰地,佐藤紳哉,●,,
2024-10-24,,王位戦,予選,,,,○,高田明浩,豊島将之,●,,
2024-10-24,,王位戦,予選,,,,●,糸谷哲郎,古賀悠聖,○,,
2024-10-24,74,王将戦,挑決リーグ,,,,○,西田拓也,永瀬拓矢,●,,
2024-10-24,,棋聖戦,二次予選,,,,○,高崎一生,松尾歩,●,,
2024-10-24,,達人戦,予選,,,,○,森内俊之,森下卓,●,,
2024-10-24,,達人戦,予選,,,,○,中川大輔,佐藤秀司,●,,
2024-10-24,,達人戦,予選,,,,●,中川大輔,森内俊之,○,,
2024-10-24,,達人戦,予選,,,,○,郷田真隆,三浦弘行,●,,
2024-10-24,,達人戦,予選,,,,●,深浦康市,行方尚史,○,,
2024-10-24,,達人戦,予選,,,,○,行方尚史,郷田真隆,●,,
2024-10-24,33,銀河戦,本戦,C,1,,○,西山朋佳,長岡裕也,●,,2025-01-09
2024-10-24,33,銀河戦,本戦,C,2,,○,山本博志,西山朋佳,●,,2025-02-06
2024-10-24,33,銀河戦,本戦,C,3,,○,岡部怜央,山本博志,●,,2025-03-06
2024-10-25,37,竜王戦,3組 昇決,,,,○,澤田真吾,梶浦宏孝,●,,
2024-10-25,37,竜王戦,4組 昇決,,,,○,服部慎一郎,杉本和陽,●,,
2024-10-25,83,順位戦,A級,,4,,●,増田康宏,佐藤天彦,○,,
2024-10-25,,王位戦,予選,,,,●,鈴木大介,長谷部浩平,○,千日手,
2024-10-25,,王位戦,予選,,,,○,八代弥,三枚堂達也,●,,
2024-10-25,,王位戦,予選,,,,○,大石直嗣,阪口悟,●,,
2024-10-25,,王位戦,予選,,,,○,都成竜馬,狩山幹生,●,,
2024-10-25,74,王将戦,挑決リーグ,,,,○,羽生善治,広瀬章人,●,,
2024-10-25,,棋聖戦,二次予選,,,,○,近藤誠也,横山泰明,●,,
2024-10-25,37,竜王戦,七番勝負,,,3,○,藤井聡太,佐々木勇気,●,,
2024-10-25,33,銀河戦,本戦,D,1,,○,小林裕士,小山怜央,●,,2025-01-14
2024-10-25,33,銀河戦,本戦,D,2,,●,渡辺大夢,小林裕士,○,,2025-02-11
2024-10-28,74,王将戦,挑決リーグ,,,,●,広瀬章人,永瀬拓矢,○,,
2024-10-29,10,叡王戦,予選,,,,○,近藤誠也,佐藤紳哉,●,,
2024-10-29,10,叡王戦,予選,,,,○,菅井竜也,杉本昌隆,●,,
2024-10-29,10,叡王戦,予選,,,,●,菅井竜也,稲葉陽,○,,
2024-10-29,10,叡王戦,予選,,,,○,長岡裕也,出口若武,●,,
2024-10-29,10,叡王戦,予選,,,,●,服部慎一郎,長岡裕也,○,,
2024-10-29,10,叡王戦,予選,,,,○,藤本渚,高田明浩,●,,
2024-10-29,10,叡王戦,予選,,,,○,柵木幹太,上野裕寿,●,,
2024-10-29,10,叡王戦,予選,,,,●,森本才跳,宮嶋健太,○,,
2024-10-29,10,叡王戦,予選,,,,○,宮嶋健太,柵木幹太,●,,
2024-10-29,,王位戦,予選,,,,●,岡部怜央,佐々木勇気,○,,
2024-10-29,,王位戦,予選,,,,●,山崎隆之,西田拓也,○,,
2024-10-29,,王座戦,一次予選,,,,●,西川和宏,船江恒平,○,,
2024-10-30,37,竜王戦,6組 昇決,,,,○,山本博志,安用寺孝功,●,,
2024-10-30,10,叡王戦,予選,,,,●,渡辺明,広瀬章人,○,,
2024-10-30,10,叡王戦,予選,,,,○,羽生善治,広瀬章人,●,,
2024-10-30,10,叡王戦,予選,,,,○,増田康宏,中村太地,●,,
2024-10-30,10,叡王戦,予選,,,,○,高見泰地,西尾明,●,,
2024-10-30,,王位戦,予選,,,,○,阿部隆,冨田誠也,●,千日手,
2024-10-30,,王座戦,一次予選,,,,○,三枚堂達也,千葉幸生,●,,
2024-10-30,,王座戦,一次予選,,,,●,井上慶太,徳田拳士,○,,
2024-10-30,,棋王戦,挑決トーナメント,,,,○,澤田真吾,本田奎,●,,
2024-10-31,37,竜王戦,6組 昇決,,,,○,岡部怜央,谷合廣紀,●,,
2024-10-31,10,叡王戦,予選,,,,○,高橋道雄,富岡英作,●,,
2024-10-31,10,叡王戦,予選,,,,●,高橋道雄,三浦弘行,○,,
2024-10-31,10,叡王戦,予選,,,,○,八代弥,北島忠雄,●,,
2024-10-31,10,叡王戦,予選,,,,●,阿部光瑠,八代弥,○,,
2024-10-31,10,叡王戦,予選,,,,●,門倉啓太,長谷部浩平,○,,
2024-10-31,10,叡王戦,予選,,,,○,井出隼平,長谷部浩平,●,,
2024-10-31,10,叡王戦,予選,,,,●,牧野光則,古賀悠聖,○,,
2024-10-31,10,叡王戦,予選,,,,○,村田顕弘,古賀悠聖,●,,
2024-10-31,,王位戦,予選,,,,●,小山直希,佐藤天彦,○,,
2024-10-31,,王位戦,予選,,,,○,行方尚史,斎藤明日斗,●,,
2024-10-31,,王位戦,予選,,,,○,大橋貴洸,浦野真彦,●,,
2024-10-31,,王座戦,一次予選,,,,●,梶浦宏孝,野月浩貴,○,,
2024-10-31,,王座戦,一次予選,,,,●,星野良生,藤森哲也,○,,
2024-10-31,,王座戦,一次予選,,,,●,脇謙二,石川優太,○,,
2024-10-31,74,王将戦,挑決リーグ,,,,○,近藤誠也,羽生善治,●,,
2024-10-31,33,銀河戦,本戦,A,1,,●,竹内雄悟,平藤眞吾,○,,2025-01-02
2024-10-31,33,銀河戦,本戦,A,2,,●,平藤眞吾,杉本和陽,○,,2025-01-30
2024-10-31,33,銀河戦,本戦,A,3,,●,杉本和陽,狩山幹生,○,,2025-02-27
2024-11-01,37,竜王戦,4組 昇決,,,,●,高崎一生,石井健太郎,○,,
2024-11-01,10,叡王戦,予選,,,,●,畠山成幸,長沼洋,○,,
2024-11-01,10,叡王戦,予選,,,,○,中田功,山崎隆之,●,,
2024-11-01,10,叡王戦,予選,,,,●,長沼洋,中田功,○,,
2024-11-01,,王位戦,予選,,,,○,永瀬拓矢,黒沢怜生,●,,
2024-11-01,,王位戦,予選,,,,○,丸山忠久,山本博志,●,,
2024-11-01,,王座戦,一次予選,,,,○,高野智史,佐藤秀司,●,,
2024-11-01,,王座戦,一次予選,,,,●,井田明宏,上野裕寿,○,,
2024-11-01,74,王将戦,挑決リーグ,,,,●,佐々木勇気,菅井竜也,○,,
2024-11-01,,棋聖戦,二次予選,,,,●,鈴木大介,阿久津主税,○,,
2024-11-01,,棋聖戦,二次予選,,,,●,渡辺和史,木村一基,○,,
2024-11-01,,棋聖戦,二次予選,,,,○,糸谷哲郎,杉本昌隆,●,,
2024-11-02,,JT杯,決勝,,,,○,広瀬章人,藤井聡太,●,,
2024-11-04,37,竜王戦,6組 昇決,,,,○,山本博志,古森悠太,●,,
2024-11-04,74,王将戦,挑決リーグ,,,,○,西田拓也,佐々木勇気,●,,
2024-11-04,74,NHK杯,本戦,,3,2,○,藤井聡太,澤田真吾,●,,2024-12-08
2024-11-04,74,NHK杯,本戦,,3,3,○,増田康宏,屋敷伸之,●,,2024-12-15
2024-11-05,37,竜王戦,4組 昇決,,,,○,服部慎一郎,船江恒平,●,,
2024-11-05,37,竜王戦,5組 昇決,,,,○,狩山幹生,斎藤明日斗,●,,
2024-11-05,83,順位戦,A級,,5,,○,菅井竜也,中村太地,●,,
2024-11-05,83,順位戦,B級1組,,,,●,高見泰地,羽生善治,○,,
2024-11-05,,王位戦,予選,,,,○,阿部健治郎,松本佳介,●,,
2024-11-05,,王座戦,一次予選,,,,○,遠山雄亮,塚田泰明,●,,
2024-11-05,,王座戦,一次予選,,,,○,岡部怜央,宮田敦史,●,,
2024-11-06,37,竜王戦,5組 昇決,,,,●,千葉幸生,井田明宏,○,,
2024-11-06,,王座戦,一次予選,,,,○,石田直裕,大平武洋,●,,
2024-11-06,,王座戦,一次予選,,,,●,増田裕司,横山友紀,○,,
2024-11-07,37,竜王戦,2組 昇決,,,,●,佐藤天彦,八代弥,○,,
2024-11-07,83,順位戦,A級,,5,,○,永瀬拓矢,豊島将之,●,,
2024-11-07,83,順位戦,B級1組,,,,●,石井健太郎,佐藤康光,○,,
2024-11-07,83,順位戦,B級1組,,,,●,山崎隆之,近藤誠也,○,,
2024-11-07,83,順位戦,B級1組,,,,●,斎藤慎太郎,糸谷哲郎,○,,
2024-11-07,83,順位戦,B級1組,,,,○,大石直嗣,大橋貴洸,●,,
2024-11-07,83,順位戦,B級1組,,,,○,澤田真吾,広瀬章人,●,,
2024-11-07,83,順位戦,C級2組,,6,,●,高橋道雄,佐藤紳哉,○,,
2024-11-07,83,順位戦,C級2組,,6,,●,小山直希,田村康介,○,,
2024-11-07,83,順位戦,C級2組,,6,,●,渡辺大夢,村中秀史,○,,
2024-11-07,83,順位戦,C級2組,,6,,○,杉本和陽,高野秀行,●,,
2024-11-07,83,順位戦,C級2組,,6,,○,山本博志,井出隼平,●,,
2024-11-07,83,順位戦,C級2組,,6,,●,高橋佑二郎,山川泰熙,○,,
2024-11-07,83,順位戦,C級2組,,6,,●,長岡裕也,今泉健司,○,,
2024-11-07,83,順位戦,C級2組,,6,,○,佐藤慎一,西川和宏,●,,
2024-11-07,83,順位戦,C級2組,,6,,○,梶浦宏孝,牧野光則,●,,
2024-11-07,83,順位戦,C級2組,,6,,●,齊藤裕也,黒沢怜生,○,,
2024-11-07,83,順位戦,C級2組,,6,,●,折田翔吾,高野智史,○,,
2024-11-07,,王座戦,一次予選,,,,○,長谷部浩平,中村亮介,●,,
2024-11-07,,棋聖戦,二次予選,,,,●,久保利明,古賀悠聖,○,,
2024-11-08,83,順位戦,A級,,5,,●,渡辺明,佐々木勇気,○,,
2024-11-08,10,叡王戦,予選,,,,●,森下卓,木村一基,○,,
2024-11-08,,王位戦,予選,,,,●,瀬川晶司,深浦康市,○,,
2024-11-08,,王位戦,予選,,,,●,北浜健介,稲葉陽,○,,
2024-11-08,,王座戦,一次予選,,,,●,西尾明,斎藤明日斗,○,,
2024-11-08,,棋聖戦,二次予選,,,,●,千田翔太,佐々木慎,○,,
2024-11-08,,棋聖戦,二次予選,,,,○,及川拓馬,島朗,●,,
2024-11-11,37,竜王戦,6組 昇決,,,,○,井出隼平,岡部怜央,●,,
2024-11-11,10,叡王戦,予選,,,,●,今泉健司,竹内雄悟,○,,
2024-11-11,74,王将戦,挑決リーグ,,,,○,永瀬拓矢,佐々木勇気,●,,
2024-11-11,74,王将戦,挑決リーグ,,,,○,菅井竜也,近藤誠也,●,,
2024-11-11,33,銀河戦,本戦,F,1,,●,加藤桃子,山川泰熙,○,,2025-01-21
2024-11-11,33,銀河戦,本戦,F,2,,○,山川泰熙,森下卓,●,,2025-02-18
2024-11-12,37,竜王戦,2組 昇決,,,,○,三浦弘行,高見泰地,●,,
2024-11-12,83,順位戦,C級1組,,6,,○,宮田敦史,中村修,●,,
2024-11-12,83,順位戦,C級1組,,6,,○,井上慶太,門倉啓太,●,,
2024-11-12,83,順位戦,C級1組,,6,,○,三枚堂達也,阿部隆,●,,
2024-11-12,83,順位戦,C級1組,,6,,○,先崎学,西尾明,●,,
2024-11-12,83,順位戦,C級1組,,6,,●,阪口悟,飯塚祐紀,○,,
2024-11-12,83,順位戦,C級1組,,6,,●,北島忠雄,野月浩貴,○,,
2024-11-12,83,順位戦,C級1組,,6,,●,千葉幸生,片上大輔,○,,
2024-11-12,83,順位戦,C級1組,,6,,○,佐藤和俊,金井恒太,●,,
2024-11-12,83,順位戦,C級1組,,6,,○,高田明浩,阿部健治郎,●,,
2024-11-12,83,順位戦,C級1組,,6,,●,真田圭一,畠山鎮,○,,
2024-11-12,83,順位戦,C級1組,,6,,○,藤本渚,畠山成幸,●,,
2024-11-12,83,順位戦,C級1組,,6,,○,出口若武,窪田義行,●,,
2024-11-12,83,順位戦,C級1組,,6,,●,西田拓也,都成竜馬,○,,
2024-11-12,83,順位戦,C級1組,,6,,●,冨田誠也,船江恒平,○,,
2024-11-12,83,順位戦,C級1組,,6,,●,宮本広志,斎藤明日斗,○,,
2024-11-12,83,順位戦,C級1組,,6,,●,古森悠太,黒田尭之,○,,
2024-11-12,83,順位戦,C級1組,,6,,●,飯島栄治,村田顕弘,○,,
2024-11-12,,王位戦,予選,,,,●,石井健太郎,杉本和陽,○,,
2024-11-13,83,順位戦,B級2組,,6,,●,谷川浩司,伊藤匠,○,,
2024-11-13,83,順位戦,B級2組,,6,,○,横山泰明,屋敷伸之,●,,
2024-11-13,83,順位戦,B級2組,,6,,●,高崎一生,丸山忠久,○,,
2024-11-13,83,順位戦,B級2組,,6,,○,郷田真隆,佐々木慎,●,,
2024-11-13,83,順位戦,B級2組,,6,,○,青嶋未来,藤井猛,●,,
2024-11-13,83,順位戦,B級2組,,6,,●,深浦康市,古賀悠聖,○,,
2024-11-13,83,順位戦,B級2組,,6,,○,北浜健介,行方尚史,●,千日手,
2024-11-13,83,順位戦,B級2組,,6,,●,木村一基,鈴木大介,○,,
2024-11-13,83,順位戦,B級2組,,6,,●,松尾歩,中川大輔,○,,
2024-11-13,83,順位戦,B級2組,,6,,○,阿久津主税,戸辺誠,●,,
2024-11-13,83,順位戦,B級2組,,6,,●,渡辺和史,久保利明,○,,
2024-11-13,83,順位戦,B級2組,,6,,●,村山慈明,服部慎一郎,○,,
2024-11-13,83,順位戦,B級2組,,6,,○,及川拓馬,杉本昌隆,●,,
2024-11-13,,王座戦,一次予選,,,,●,山本博志,黒沢怜生,○,,
2024-11-13,,王座戦,一次予選,,,,●,牧野光則,南芳一,○,,
2024-11-13,74,王将戦,挑決リーグ,,,,●,菅井竜也,広瀬章人,○,千日手,
2024-11-13,,棋聖戦,二次予選,,,,○,大橋貴洸,豊島将之,●,,
2024-11-14,83,順位戦,A級,,5,,○,稲葉陽,佐藤天彦,●,,
2024-11-14,83,順位戦,C級2組,,6,,●,島朗,上村亘,○,,
2024-11-14,83,順位戦,C級2組,,6,,○,森下卓,伊藤真吾,●,,
2024-11-14,83,順位戦,C級2組,,6,,○,日浦市郎,阿部光瑠,●,,
2024-11-14,83,順位戦,C級2組,,6,,●,長谷部浩平,八代弥,○,,
2024-11-14,83,順位戦,C級2組,,6,,●,遠山雄亮,佐々木大地,○,,
2024-11-14,83,順位戦,C級2組,,6,,○,石田直裕,瀬川晶司,●,,
2024-11-14,83,順位戦,C級2組,,6,,●,藤森哲也,狩山幹生,○,,
2024-11-14,83,順位戦,C級2組,,6,,●,田中悠一,池永天志,○,,
2024-11-14,83,順位戦,C級2組,,6,,●,谷合廣紀,小林裕士,○,,
2024-11-14,83,順位戦,C級2組,,6,,○,上野裕寿,石川優太,●,,
2024-11-14,83,順位戦,C級2組,,6,,●,平藤眞吾,徳田拳士,○,,
2024-11-14,83,順位戦,C級2組,,6,,●,横山友紀,岡部怜央,○,,
2024-11-14,83,順位戦,C級2組,,6,,○,安用寺孝功,星野良生,●,,
2024-11-14,83,順位戦,C級2組,,6,,○,佐藤秀司,井田明宏,●,,
2024-11-14,83,順位戦,C級2組,,6,,●,中村亮介,宮嶋健太,○,,
2024-11-14,83,順位戦,C級2組,,6,,●,森本才跳,本田奎,○,,
2024-11-14,,王座戦,一次予選,,,,●,佐藤紳哉,村中秀史,○,,
2024-11-14,,棋王戦,挑決トーナメント,,,,○,増田康宏,澤田真吾,●,,
2024-11-14,74,王将戦,挑決リーグ,,,,●,羽生善治,永瀬拓矢,○,,
2024-11-15,,棋王戦,挑決トーナメント,,,,○,近藤誠也,斎藤明日斗,●,,
2024-11-15,37,竜王戦,七番勝負,,,4,○,佐々木勇気,藤井聡太,●,,
2024-11-18,,王位戦,予選,,,,○,高見泰地,石田直裕,●,,
2024-11-18,,王座戦,一次予選,,,,○,出口若武,森本才跳,●,,
2024-11-18,,棋聖戦,二次予選,,,,○,渡辺明,中村修,●,,
2024-11-18,74,NHK杯,本戦,,3,4,○,近藤誠也,中村太地,●,,2024-12-22
2024-11-18,74,NHK杯,本戦,,3,5,●,糸谷哲郎,佐藤天彦,○,,2025-01-05
2024-11-19,10,叡王戦,予選,,,,●,矢倉規広,大橋貴洸,○,,
2024-11-19,,王位戦,予選,,,,●,藤井猛,杉本和陽,○,,
2024-11-19,,王位戦,予選,,,,○,藤本渚,大石直嗣,●,,
2024-11-19,,王座戦,一次予選,,,,○,野月浩貴,藤森哲也,●,,
2024-11-19,,王座戦,一次予選,,,,○,北島忠雄,小山直希,●,,
2024-11-19,,棋聖戦,一次予選,,,,○,山本博志,先崎学,●,,
2024-11-19,,棋聖戦,一次予選,,,,●,金井恒太,渡辺正和,○,,
2024-11-19,,棋聖戦,一次予選,,,,○,渡辺正和,山本博志,●,,
2024-11-19,33,銀河戦,本戦,H,3,,○,八代弥,井田明宏,●,,2025-03-25
2024-11-19,33,銀河戦,本戦,H,4,,○,阪口悟,八代弥,●,,2025-04-22
2024-11-20,10,叡王戦,予選,,,,●,近藤正和,梶浦宏孝,○,,
2024-11-20,10,叡王戦,予選,,,,●,梶浦宏孝,佐々木大地,○,,
2024-11-20,,王座戦,一次予選,,,,○,長岡裕也,畠山鎮,●,,
2024-11-20,,王座戦,一次予選,,,,●,今泉健司,上野裕寿,○,,
2024-11-20,74,王将戦,挑決リーグ,,,,○,佐々木勇気,羽生善治,●,,
2024-11-20,74,王将戦,挑決リーグ,,,,○,永瀬拓矢,近藤誠也,●,,
2024-11-20,74,王将戦,挑決リーグ,,,,●,広瀬章人,西田拓也,○,千日手,
2024-11-20,,朝日杯,二次予選,,,,○,佐藤天彦,井出隼平,●,,
2024-11-20,,朝日杯,二次予選,,,,●,及川拓馬,青嶋未来,○,,
2024-11-20,,朝日杯,二次予選,,,,○,青嶋未来,佐藤天彦,●,,
2024-11-20,,朝日杯,二次予選,,,,●,村山慈明,稲葉陽,○,,
2024-11-20,,朝日杯,二次予選,,,,●,斎藤慎太郎,池永天志,○,,
2024-11-20,,朝日杯,二次予選,,,,○,池永天志,稲葉陽,●,,
2024-11-21,,王位戦,予選,,,,○,丸山忠久,高野秀行,●,,
2024-11-21,,王位戦,予選,,,,●,谷川浩司,深浦康市,○,,
2024-11-21,,王位戦,予選,,,,○,久保利明,村田顕弘,●,,
2024-11-21,,棋聖戦,一次予選,,,,○,佐藤和俊,阿部光瑠,●,,
2024-11-21,,棋聖戦,一次予選,,,,●,高橋佑二郎,西尾明,○,,
2024-11-21,,棋聖戦,一次予選,,,,●,佐藤和俊,西尾明,○,,
2024-11-21,33,銀河戦,本戦,A,4,,●,狩山幹生,飯塚祐紀,○,,2025-03-27
2024-11-21,33,銀河戦,本戦,A,5,,●,片上大輔,飯塚祐紀,○,,2025-04-24
2024-11-22,83,順位戦,A級,,5,,●,千田翔太,増田康宏,○,,
2024-11-22,10,叡王戦,予選,,,,○,黒田尭之,山本博志,●,,
2024-11-22,10,叡王戦,予選,,,,●,佐藤慎一,黒田尭之,○,千日手,
2024-11-22,,王位戦,予選,,,,○,八代弥,渡辺和史,●,,
2024-11-22,,王位戦,予選,,,,○,行方尚史,松尾歩,●,,
2024-11-22,,王位戦,予選,,,,○,都成竜馬,阿部隆,●,,
2024-11-22,,王位戦,予選,,,,●,石川優太,菅井竜也,○,,
2024-11-22,,王座戦,一次予選,,,,○,本田奎,上村亘,●,,
2024-11-22,,王座戦,一次予選,,,,○,阿部健治郎,谷合廣紀,●,,
2024-11-22,,王座戦,一次予選,,,,○,徳田拳士,竹内雄悟,●,,
2024-11-22,,棋聖戦,二次予選,,,,●,高見泰地,伊藤匠,○,,
2024-11-22,,棋聖戦,一次予選,,,,●,門倉啓太,杉本和陽,○,,
